Year Released,Album Length,Album Name,Artist
2024,2995775,american dream,21 Savage
2022,3640545,Her Loss,Drake
2020,6345088,SAVAGE MODE II [CHOPPED NOT SLOPPED],21 Savage
2020,2640651,SAVAGE MODE II,21 Savage
2018,3300401,i am > i was (Deluxe),21 Savage
2018,3065169,i am > i was,21 Savage
2018,5250459,NOT ALL HEROES WEAR CAPES (Deluxe),Metro Boomin
2017,2009424,Without Warning,21 Savage
2017,3395740,Issa Album,21 Savage
2016,1946903,Savage Mode,21 Savage
2016,2931112,Slaughter King,21 Savage
2016,2854624,The Slaughter Tape,21 Savage
2023,6528706,For All The Dogs Scary Hours Edition,Drake
2023,5090673,For All The Dogs,Drake
2022,3152558,"Honestly, Nevermind",Drake
2021,5173117,Certified Lover Boy,Drake
2020,2995371,Dark Lane Demo Tapes,Drake
2019,4425273,Care Package,Drake
2018,5426391,Scorpion,Drake
2017,4899126,More Life,Drake
2016,4875485,Views,Drake
2015,2435958,What A Time To Be Alive,Drake
2015,4129729,If You're Reading This It's Too Late,Drake
2013,3568770,Nothing Was The Same,Drake
2011,5005808,Take Care (Deluxe),Drake
2009,4437710,So Far Gone,Drake
2022,3999599,The Forever Story (Extended Version),JID
2021,1792855,Madden NFL 22 Soundtrack,EA Sports Madden NFL
2020,2984385,Spilligion,Spillage Village
2018,3014294,DiCaprio 2,JID
2017,2398131,The Never Story,JID
2023,3564923,Glockoma 2 (Deluxe),Key Glock
2023,2429436,Glockoma 2,Key Glock
2022,4975390,Yellow Tape 2 (Deluxe),Key Glock
2021,3213980,Yellow Tape 2,Key Glock
2021,3713613,Dum and Dummer 2,Young Dolph
2020,2602928,Son Of A Gun,Key Glock
2020,2733981,Yellow Tape,Key Glock
2019,3629952,Dum and Dummer,Young Dolph
2018,2229194,Glockoma,Key Glock
2018,2830995,Glock Bond,Key Glock
2017,2223830,Glock Season,Key Glock
2023,3312866,Tee’s Coney Island (Deluxe),Tee Grizzley
2023,2721154,Tee's Coney Island,Tee Grizzley
2023,1772051,Controversy,Tee Grizzley
2022,2442539,Chapters Of The Trenches,Tee Grizzley
2022,2686259,Half Tee Half Beast,Tee Grizzley
2021,3237968,Built For Whatever,Tee Grizzley
2020,2720568,The Smartest,Tee Grizzley
2019,2404371,Scriptures,Tee Grizzley
2018,2432176,Still My Moment,Tee Grizzley
2018,3661277,Activated,Tee Grizzley
2017,2422029,Bloodas,Tee Grizzley
2017,2581450,My Moment,Tee Grizzley
2024,3848287,INSANO,Kid Cudi
2022,2744995,Entergalactic,Kid Cudi
2022,2813574,A Kid Named Cudi,Kid Cudi
2022,4878317,The Boy Who Flew To The Moon (Vol. 1),Kid Cudi
2020,3504154,Man On The Moon III: The Chosen,Kid Cudi
2018,1432307,KIDS SEE GHOSTS,KIDS SEE GHOSTS
2016,5219221,"Passion, Pain & Demon Slayin'",Kid Cudi
2015,5494017,Speedin' Bullet 2 Heaven,Kid Cudi
2013,4252914,Indicud,Kid Cudi
2010,3723981,Man On The Moon II: The Legend Of Mr. Rager,Kid Cudi
2023,887185,THE BIGGEST,BigXthaPlug
2023,2611299,AMAR (Deluxe),BigXthaPlug
2023,2050746,AMAR,BigXthaPlug
2024,1253060,Soak City Remixes,310babii
2023,1033564,lottery pick,310babii
2023,3017815,"You Still Here, Ho ? (Extended)",Flo Milli
2022,2464187,"You Still Here, Ho ?",Flo Milli
2020,1800944,"Ho, why is you here ?",Flo Milli
2024,1284269,The Chosen Ones,DJ BOOKER
2023,7492703,Cottonwood 2 (Deluxe 2.0),NLE Choppa
2023,6105105,Cottonwood 2 (Deluxe),NLE Choppa
2023,7509908,Cottonwood 2 (Sped Up),NLE Choppa
2023,10224710,Cottonwood 2 (Slowed Down),NLE Choppa
2023,8551134,Cottonwood 2 (Instrumental),NLE Choppa
2023,4248710,Cottonwood 2,NLE Choppa
2020,2430693,From Dark to Light,NLE Choppa
2020,3685108,Top Shotta,NLE Choppa
2019,1506117,Cottonwood,NLE Choppa
2023,1448483,Jackman.,Jack Harlow
2022,2704559,Come Home The Kids Miss You,Jack Harlow
2020,2556937,Thats What They All Say,Jack Harlow
2020,999714,Sweet Action,Jack Harlow
2019,2063644,Confetti,Jack Harlow
2018,2440956,Loose,Jack Harlow
2017,2071826,Gazebo,Jack Harlow
2016,1537829,18,Jack Harlow
2019,1196271,Thank You Mr. C,ATL Jacob
2023,1790569,41 World: Not The Album,41
2023,1946559,41 Ways,41
2014,1714131,4+1,41
2023,2008952,Ghetto Fabulous,Rich Amiri
2023,1518732,Evolution,Rich Amiri
2022,1109449,For The Better,Rich Amiri
2024,4804145,Pink Friday 2 (Gag City PLUTO Edition),Nicki Minaj
2023,4602727,Pink Friday 2 (Gag City Deluxe),Nicki Minaj
2023,4224858,Pink Friday 2,Nicki Minaj
2022,7052566,Queen Radio: Volume 1,Nicki Minaj
2021,4646498,Beam Me Up Scotty,Nicki Minaj
2018,4226901,Queen (Deluxe),Nicki Minaj
2018,4168821,Queen,Nicki Minaj
2014,5492095,The Pinkprint (Deluxe Edition),Nicki Minaj
2014,4019751,The Pinkprint,Nicki Minaj
2012,4759859,Pink Friday ... Roman Reloaded (Deluxe Edition),Nicki Minaj
2012,4561554,Pink Friday ... Roman Reloaded (Deluxe),Nicki Minaj
2010,4160608,Pink Friday (Deluxe Edition),Nicki Minaj
2010,4866032,Pink Friday (Complete Edition),Nicki Minaj
2010,3056756,Pink Friday,Nicki Minaj
2024,2410954,TEC (Bonus),Lil Tecca
2023,2290920,TEC,Lil Tecca
